name,city,state,country,latitude,longitude,first_visit,visits,type,image,note
Death Valley National Park,Death Valley,California,United States,36.230096733954554, -116.76972418733054,2024-03-24,2,Nature,death-valley.PNG,"Came here to stargaze one time. It was great. Driving home all alone with everyone else fast asleep, less fun."
Tahoma National Park,Tahoma,Washington,United States,46.85183551623467, -121.76281215332791,,3,Nature,,"I'm on team rename Mt. Rainier to Tahoma. I just need to start actually doing that."
Joshua Tree National Park,Joshua Tree,California,United States,34.02599683976423, -116.18158178277113,2023-11-25,4,Nature,joshua-tree.PNG,"Came here solo once. Got lost on a trail. I didn't realize how lost I was so I couldn't start to panic. Figured it out eventually though!"
Yosemite National Park,Yosemite,California,United States,37.85068094839767, -119.53742491637377,,2,Nature,yosemite.PNG,"Once came here long, long ago for my grandpa's 90th birthday. Didn't remember a thing."
Petrified Forest National Park,Petrified Forest,Arizona,United States,35.066631272523196, -109.78392847082927,2024-10-07,1,Nature,petrified-forest.PNG,"Very quick drive through."
Saguaro National Park,Tuscon,Arizona,United States,32.191037484608636, -110.73041325499747,2025-05-26,1,Nature,saguaro-np.PNG,"Finished all the Arizona National Parks! Least expected national park on the drive from Dallas to San Diego"
Hawaii Volcanoes National Park,Volcano,Hawaii,United States,19.487614375928004, -155.46467590645204,,2,Nature,hawaii-volcanoes.PNG,"On my birthday in 2025 I got to see Kiluea erupt! So lucky."
Haleakala National Park,Haleakala,Hawaii,United States,20.768405760093163, -156.24315497135888,,1,Nature,,"I was young when I went, long before the pin collection. But I remember it all vividly!"
Gateway Arch National Park,St. Louis,Missouri,United States,38.62474717580023, -90.18536303230957,2026-02-21,1,Nature,gateway-arch.PNG,"Yes I marked it nature. Why? Why did the National Park Service mark it nature? Checkmate."
Zion National Park,Zion,Utah,United States,37.283837734289676, -113.02919594154962,2025-03-24,2,Nature,zion.PNG,"Wow do I love Utah now."
Bryce Canyon National Park,Bryce Canyon,Utah,United States,37.53176655758609, -112.24770708441896,2025-08-30,1,Nature,bryce-canyon.PNG,"Hoodoo you do?"
RLCS 21-22 Winter Major,Los Angeles,California,United States,33.95178976513548, -118.33720754314497,2022-03-29,1,Other,rlcs-21-22.PNG,"The first live RLCS major back after COVID was in LA. I dragged some people to come with me. They bought the $80 tickets then complained about my cheering and joy."
RLCS 22-23 Winter Major,San Diego,California,United States,32.70612700045696, -117.16125473295475,2023-04-07,1,Other,rlcs-22-23.PNG,"Technically this was held at a Dreamhack. Honestly, that was cool! I don't think I would've gone to a bigger gaming convention without this push."
